score,movie_name,score_num,ranking
9.6,肖申克的救赎,867458,1
9.5,霸王别姬,623140,2
9.4,这个杀手不太冷,829968,3
9.4,阿甘正传,707943,4
9.5,美丽人生,412978,5
9.2,千与千寻,659383,6
9.4,辛德勒的名单,380672,7
9.2,泰坦尼克号,650848,8
9.2,盗梦空间,759098,9
9.3,机器人总动员,497078,10
9.2,海上钢琴师,597163,11
9.1,三傻大闹宝莱坞,671025,12
9.2,忠犬八公的故事,452824,13
9.2,放牛班的春天,450420,14
9.2,大话西游之大圣娶亲,485863,15
9.1,龙猫,416645,16
9.2,教父,342260,17
9.1,楚门的世界,451585,18
9.2,乱世佳人,270335,19
9.1,天堂电影院,308581,20
9.1,触不可及,364395,21
8.9,当幸福来敲门,536474,22
9.2,熔炉,249986,23
9.0,搏击俱乐部,403026,24
9.0,无间道,396617,25
